Cluster	Account	Program	SOW ID	Project Name	Project Type	Delivery Responsibilty	Technology	Leadership Attention Required	Risk Name	Risk Class	Risk Element	Risk Attribute	Risk Consequence	Project Impact	Client Impact	Mitigation / Contingency Plan	Risk Source									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0006-01-00	Service Desk	Production Support Solution	UST Managed	Others	No	There is no capping on the monthly ticket volume  in contract	A1.Program	B11.Operations	C2.Contracts 	Affects the manpower dimensioning and SLAs agreed 	SLA breaches and Service credits	N/A	Revisit the SOW and add a clause in contract	DM Review									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0006-01-00	Service Desk	Production Support Solution	UST Managed	Others	No	Exceptional scenarios which results in uncharacteristic surge in volume of tickets are not considered in the contract.	A1.Program	B11.Operations	C2.Contracts 	SLA breaches	SLA breaches and Service credits	N/A	Revisit the SOW for adding this changes or exclude those tickets while calculating the SLAs	DM Review									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0006-01-00	Service Desk	Production Support Solution	UST Managed	Others	No	Low EBITDA and no clear road map for increasing net margin	A1.Program	B11.Operations	C1.Financials 	Low net margin	Due to low initial pricing and increase in operational/resource cost low  net margin	N/A	Revisit the pricing for SD1 engagement or reduce the operational cost to maintain the same in coming years.	DM Review									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0010-01-00	Managed Services Desktop Propo	Production Support Solution	UST Managed	Others	No	Multiple sources of tickets and its consolidation is done manually and prone to errors.	A1.Program	B3.Dependency	C1.Dependency Tracking 	Multiple sources of tickets and its consolidation is done manually is prone to errors.	Additional effort required and prone to errors	Additional effort required and prone to errors	"Multiple sources like Email, Chat, Slack etc are there for issue reporting. Need to take it up with Adobe to integrate all channels to ServiceNow for automatic ticket creation to avoid manual tracking and human errors."	DM Review									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0010-01-00	Managed Services Desktop Propo	Production Support Solution	UST Managed	Others	No	No capping on the monthly ticket volume in contract	A1.Program	B11.Operations	C2.Contracts 	" Affect the manpower dimensioning and SLAs agreed, if any surges occur in ticket volume. "	SLA breaches and Service credits	NA	Need to take it up with Adobe to include the capping or exclusion on SLA calaculation if its exceed beyond a particular number of tickets in a month	DM Review									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0010-01-00	Managed Services Desktop Propo	Production Support Solution	UST Managed	Others	No	Third party dependencies no tracked /excluded in SLA calculation	A1.Program	B8.Monitoring and Control	C2.Status Reporting 	SLA breaches and service credits	SLA breaches and Service credits	NA	Need to incorporate metrics for third party dependencies  or to be excluded from  SLA breaches	DM Review									
Hitech2	Adobe Systems Incorporated	Adobe Systems Incorporated	ADOB-0010-01-00	Managed Services Desktop Propo	Production Support Solution	UST Managed	Others	No	Critical resource Mapping	A3.Team	B1.Expertise	C4.PM Expertise 	Delay in deliverables	Delay in deliverables	Delay in deliverables	 Need to identify the key resource and talent refresh to be done to take care of any untoward incident due to pandemic.	DM Review									
Retail	Retail Business Services LLC	Ahold	AHOL-0087-01-01	ScanIT App Managed Services En	Application Managment and Production Support Solution	UST Managed	Java	No	handheld (h/w based) testing is moved fully to onsite client lab 	A2.Product	B7.Testing	C12.Deliverables	which has affected the business continuity plan in place. The client has accepted this risk as network changes cannot be done to connect from home. This will be restored back to offshore once the pandemic is over. Offshore is handling mobile testing	Onsite needs to work on Joya related changes	Joya work needs to be streamlined based on onsite availability	"Client accepting the risk as they are not wiling to open the network to access from home.
Offshore to work on Joya once pandemic is over."	DM Review									
Retail	Retail Business Services LLC	Ahold	AHOL-0087-01-01	ScanIT App Managed Services En	Application Managment and Production Support Solution	UST Managed	Java	No	Risk of Attrition	A3.Team	B5.Attrition	C1.Attrition in the Team	The stability of the team will be impacted.	Challenges in project delivery and support	Client abberations.	"However, this should be manageable considering the cross-skilling practice in the team."	DM Review									
FSG	Athene	Athene	ATHE-0054-01-01	Interim Work order- Athene Dat	Production Support Solution	UST Managed	Networking & OS	No	No Monitoring tool for some infrastructure elements	A4.Infrastructure	B2.Software	C5.Open Source 	Missing critcal alarms	Monitoring	Network avaialbility	Complete the new monitoring tool at the earliest	DM Review									
Retail	Costco Wholesale Corporation	Costco Wholesale Corporation	COST-0421-80-00	Depot and Warehouse Solution S	Application Managment and Production Support Solution	Joint Managed	AS-400	No	Regression testing not done for defect fixes	A2.Product	B7.Testing	C3.Functional Coverage 	which could potentially lead to organic defects in production.	quality is compromised 	quality is compromised 	Regression Testcases to be included with Unit Testing	DM Review									
Retail	Costco Wholesale Corporation	Costco Wholesale Corporation	COST-0421-80-00	Depot and Warehouse Solution S	Application Managment and Production Support Solution	Joint Managed	AS-400	No	Attrition risk and team morale	A3.Team	B1.Expertise	C1.Domain Expertise 	"could impact team morale. There is a potential chance for attrition. In addition to this, Costco is also hiring UST SME?s which could impact UST domain and UST?s presence in this area. "	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Retail	Costco Wholesale Corporation	Costco Wholesale Corporation	COST-0421-80-00	Depot and Warehouse Solution S	Application Managment and Production Support Solution	Joint Managed	AS-400	No	Attrition risk	A3.Team	B5.Attrition	C1.Attrition in the Team	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Retail	Costco Wholesale Corporation	Costco Wholesale Corporation	COST-0708-21-00	SAP - iSeries Merchandise Inte	Testing Solution	Joint Managed	Testing	No	No seamless collaboration with multiple modules/teams with respect to the overall program scope 	A1.Program	B6.Quality	C1.Reviews 	Limiting the team?s role in end-to-end integration testing	End-to-end integration testing	Quality deliverables	Regular review calls with multiple modules/teams with respect to the overall program scope 	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0029-07-00	Legacy Application Managed Service	Production Support Solution	UST Managed	Microsoft	No	Extension of RFP	A1.Program	B11.Operations	C2.Contracts 	Contract extension	Contract extension	TBD	TBD	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0029-07-00	Legacy Application Managed Service	Production Support Solution	UST Managed	Microsoft	No	No mitigration plan for pandemic situation	A1.Program	B3.Dependency	C1.Dependency Tracking 	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0029-07-00	Legacy Application Managed Service	Production Support Solution	UST Managed	Microsoft	No	Resource level single point of failure	A3.Team	B4.Unavailability of Resources	C1.Unavailability of Resources with Required Skills	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0029-07-00	Legacy Application Managed Service	Production Support Solution	UST Managed	Microsoft	No	Performance issue of the application	A2.Product	B11.Solution Approach	C4.Solution Alternatives	may affect the performance of the application the which needs to be replaced by the customer. This is an open risk which is accepted by customer.	the DGL application support may be affected	may impact the business continuity for the customer	"Informed customer stakeholders and provided DGL application replatforming proposal. Customer accepted this risk and the ownership. Due to the pipelined decommissioning plan of DGL application and due to budgetory concerns, customer is not taking any action now. So, closing the risk."	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0029-07-00	Legacy Application Managed Service	Production Support Solution	UST Managed	Microsoft	No	Vulnerabilities in DGL environment	A2.Product	B10.Product Software Security	C1.Vulnerability 	the application may unavailable frequently	the DGL application support may be affected	may impact the business continuity for the customer	"Informed customer stakeholders and provided DGL application replatforming proposal. Customer accepted this risk and the ownership. Due to the pipelined decommissioning plan of DGL application and due to budgetory concerns, customer is not taking any action now. So, closing the risk."	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0537-01-00	"INFRA: GNOC, OS, Backup & Stor"	Production Support Solution	UST Managed	Infrastructure	No	Risk in Managing End of Life products	A2.Product	B10.Product Software Security	C1.Vulnerability 	"can be a significant risk to entire enterprise in terms of security to address vulnerabilities and threat, as these are not monitored and addressed by the incumbent vendors for finding fixes to address known issues"	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0537-01-00	"INFRA: GNOC, OS, Backup & Stor"	Production Support Solution	UST Managed	Infrastructure	No	Capacity Issue	A1.Program	B9.Stakeholder Dependency	C4.Contractual / Verbal Commitment 	can cause the performance issues and failures which is coming under customer scope. This is highlighted to customer stake holders and shared proposal to mitigate this risk.	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0537-01-00	"INFRA: GNOC, OS, Backup & Stor"	Production Support Solution	UST Managed	Infrastructure	No	Inventory Management -CMDB not available	A2.Product	B3.Design	C3.Performance / Volume Considerations 	as this may affect critical incident management to identify dependencies and root causes. This is escalated to customer and Customer is working on building a ServiceNow CMDB.	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	DANA Limited	"Dana Companies, Llc"	DANA-0537-01-00	"INFRA: GNOC, OS, Backup & Stor"	Production Support Solution	UST Managed	Infrastructure	No	Network devices not monitored	A4.Infrastructure	B2.Software	C6.Compliance 	and failures in firewall or any ISPs will not be noticed immediately which may affect the quick resolution of network outages and can in turn affect the monitoring.	Network devices and firewalls are managed by the customer.	Network devices and firewalls are managed by the customer.	Network devices and firewalls are managed by the customer.	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0297-01-00	WS Employer Services AMS	Application Maintenance Solution	Joint Managed	Microsoft	No	Sonar code scan issues	A2.Product	B10.Product Software Security	C1.Vulnerability 	Code quality get affected	Poor code quality	Poor code quality	SonarQube was integrated recently to legacy code and it is known risk that the existing legacy code has many SonarQube defects. It was a planned decision to go PROD without fixing SonarQube defects to decommission the on-prem servers and the plan to address SonarQube was also Finalized. All SonarQube defects will be addressed on priority based in upcoming sprints. 	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0297-01-00	WS Employer Services AMS	Application Maintenance Solution	Joint Managed	Microsoft	No	Dynamic code scan not done	A2.Product	B10.Product Software Security	C1.Vulnerability 	Vulnerabilities might get injected to production 	Defect leakage	Defect leakage	Dynamic scanning is managed by Equifax and Not in UST?s scope.	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0297-01-00	WS Employer Services AMS	Application Maintenance Solution	Joint Managed	Microsoft	No	Onboarding time	A1.Program	B9.Stakeholder Dependency	C5.Timeliness of Partner deliverables	Loss of revenue	Schedule might get impacted	Committed project release date to the Equifax customer might get impacted	Get exception approvals as required from Equifax	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0297-01-00	WS Employer Services AMS	Application Maintenance Solution	Joint Managed	Microsoft	No	Sonar code scan issues are high 	A2.Product	B9.Quality	C1.Outstanding Issues / Clarifications 	Affects the code quality	Code quality of the application	Code quality of the application	The high count of sonar issues is attributed to legacy code which forms the core of the application   which are addressing in small prioritized chunks	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0297-01-00	WS Employer Services AMS	Application Maintenance Solution	Joint Managed	Microsoft	No	Dynamic code scan not observed 	A2.Product	B9.Quality	C1.Outstanding Issues / Clarifications 	Fails to detect the vulnerability at an early phase of the development life cycle	Fails to detect the vulnerability at an early phase of the development life cycle	Fails to detect the vulnerability at an early phase of the development life cycle	Establish the Dynamic Code scan	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0297-01-00	WS Employer Services AMS	Application Maintenance Solution	Joint Managed	Microsoft	No	Long process by EFX for onboarding resources	A3.Team	B4.Unavailability of Resources	C1.Unavailability of Resources with Required Skills	risking the early revenue.	risking the early revenue.	NA	highlight the criticality of resource requirement in advance 	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0452-01-00	Equifax Infra Offshore NOC Sup	Application Managment and Production Support Solution	Joint Managed	Networking & OS	No	CMDB not integrated with ITSM Tool	A1.Program	B8.Monitoring and Control	C2.Status Reporting 	Prevents the tracking of incidents history associated with devices.	Prevents the tracking of incidents history associated with devices of devices and RCA.	Prevents the tracking of incidents history associated with devices of devices and RCA.	CMDB & ServiceNow is owned by Equifax and need to take it up with Equifax.	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0452-01-00	Equifax Infra Offshore NOC Sup	Application Managment and Production Support Solution	Joint Managed	Networking & OS	No	The SLA for Change execution	A1.Program	B8.Monitoring and Control	C1.Metrics 	Reports will reflect higher duration for change execution	Higher execution time and affects the agreed SLAs	NA	Need to take it up with customer for excluding hte same while considering SLAs	DM Review									
